Month,Volume
Jan-49,562.674
Feb-49,599
Mar-49,668.516
Apr-49,597.798
May-49,579.889
Jun-49,668.233
Jul-49,499.232
Aug-49,215.187
Sep-49,555.813
Oct-49,586.935
Nov-49,546.136
Dec-49,571.111
Jan-50,634.712
Feb-50,639.283
Mar-50,712.182
Apr-50,621.557
May-50,621
Jun-50,675.989
Jul-50,501.322
Aug-50,220.286
Sep-50,560.727
Oct-50,602.53
Nov-50,626.379
Dec-50,605.508
Jan-51,646.783
Feb-51,658.442
Mar-51,712.906
Apr-51,687.714
May-51,723.916
Jun-51,707.183
Jul-51,629
Aug-51,237.53
Sep-51,613.296
Oct-51,730.444
Nov-51,734.925
Dec-51,651.812
Jan-52,676.155
Feb-52,748.183
Mar-52,810.681
Apr-52,729.363
May-52,701.108
Jun-52,790.079
Jul-52,594.621
Aug-52,230.716
Sep-52,617.189
Oct-52,691.389
Nov-52,701.067
Dec-52,705.777
Jan-53,747.636
Feb-53,773.392
Mar-53,813.788
Apr-53,766.713
May-53,728.875
Jun-53,749.197
Jul-53,680.954
Aug-53,241.424
Sep-53,680.234
Oct-53,708.326
Nov-53,694.238
Dec-53,772.071
Jan-54,795.337
Feb-54,788.421
Mar-54,889.968
Apr-54,797.393
May-54,751
Jun-54,821.255
Jul-54,691.605
Aug-54,290.655
Sep-54,727.147
Oct-54,868.355
Nov-54,812.39
Dec-54,799.556
Jan-55,843.038
Feb-55,847
Mar-55,941.952
Apr-55,804.309
May-55,840.307
Jun-55,871.528
Jul-55,656.33
Aug-55,370.508
Sep-55,742
Oct-55,847.152
Nov-55,731.675
Dec-55,898.527
Jan-56,778.139
Feb-56,856.075
Mar-56,938.833
Apr-56,813.023
May-56,783.417
Jun-56,828.11
Jul-56,657.311
Aug-56,310.032
Sep-56,780
Oct-56,860
Nov-56,780
Dec-56,807.993
Jan-57,895.217
Feb-57,856.075
Mar-57,893.268
Apr-57,875
May-57,835.088
Jun-57,934.595
Jul-57,832.5
Aug-57,300
Sep-57,791.443
Oct-57,900
Nov-57,781.729
Dec-57,880
Jan-58,875.024
Feb-58,992.968
Mar-58,976.804
Apr-58,968.697
May-58,871.675
Jun-58,1006.852
Jul-58,832.037
Aug-58,345.587
Sep-58,849.528
Oct-58,913.871
Nov-58,868.746
Dec-58,993.733
